vessel_id,shape_class,rim_orient,rim_profile,base_type,additional_elem,height,opening_diam,base_diam,neck_diam,belly_diam,neck_height,belly_height,H-Bd,Bd-Rd,Bd-Nd,H-Bh,H-Nh,Bd-BaD
JZ001_P028,E,A,01,03,N,10.00,21.60,8.20,21.60,21.60,10.00,10.00,0.46,1.00,1.00,1.00,1.00,2.63
JZ001_P029,P,B,13,03,N,17.10,6.00,4.00,4.04,12.38,14.24,6.19,1.38,2.06,3.06,2.76,1.20,3.10
JZ001_P031,E,B,02,04,N,8.10,16.50,4.70,16.50,16.50,8.10,8.10,0.49,1.00,1.00,1.00,1.00,3.51
JZ001_P032,E,A,02,04,N,8.20,18.50,8.20,18.50,18.50,8.20,8.20,0.44,1.00,1.00,1.00,1.00,2.26
JZ001_P033,E,B,01,03,N,6.70,13.20,7.50,13.20,13.20,6.70,6.70,0.51,1.00,1.00,1.00,1.00,1.76
JZ001_P034,E,A,01,03,N,6.60,14.80,8.00,14.80,14.80,6.60,6.60,0.45,1.00,1.00,1.00,1.00,1.85
JZ001_P035,E,B,03,04,N,6.70,11.20,3.58,11.20,11.20,6.70,6.70,0.60,1.00,1.00,1.00,1.00,3.13
JZ001_P036,E,A,03,04,N,9.60,19.20,6.10,19.20,19.20,9.60,9.60,0.50,1.00,1.00,1.00,1.00,3.15
JZ001_P037,E,B,03,04,N,8.50,17.00,6.30,17.00,15.51,8.50,4.54,0.55,0.91,0.91,1.87,1.00,2.46
JZ001_P039,E,B,07,02,N,12.60,21.00,NA,21.00,21.54,12.60,9.71,0.58,1.03,1.03,1.30,1.00,NA
JZ001_P040,P,B,04,02,N,16.00,7.00,1.00,5.94,11.40,13.84,6.85,1.40,1.63,1.92,2.34,1.16,11.40
JZ001_P043,N,B,07,02,N,7.80,4.00,0.80,3.44,6.22,6.83,3.28,1.25,1.56,1.81,2.38,1.14,7.78
JZ001_P044,N,B,07,03,N,20.20,10.60,2.32,9.96,17.39,18.01,8.96,1.16,1.64,1.75,2.25,1.12,7.50
JZ001_P045,N,B,07,02,N,10.70,6.70,0.80,6.74,10.59,9.88,5.12,1.01,1.58,1.57,2.09,1.08,13.24
JZ001_P046,E,C,02,04,N,12.10,22.50,4.70,22.50,23.49,12.10,10.15,0.52,1.04,1.04,1.19,1.00,5.00
JZ001_P048,P,B,04,02,N,17.00,6.40,0.80,4.35,12.03,14.71,6.11,1.41,1.88,2.77,2.78,1.16,15.04
JZ001_P049,H,B,04,03,N,16.20,11.80,3.50,10.64,15.77,14.35,7.27,1.03,1.34,1.48,2.23,1.13,4.51
